"id","status","assignedTo","displayName","recordDate","category","location","pid","mfgPartNumber","serialNumber","quantity","vendor","notes"
"1","checked-out","tuppayok","Edgar5","2026-08-23","PoE load","Station 1","n/a","53-0005-01","123456","1","Reach",""
"2","infrastructure","","XGS12","2026-08-23","IXIA chassis","Station 2","n/a","XGS12-HD16","98765","1","Keysight",""
"3","available","","Edgar5","2026-08-23","PoE load","Stockroom","n/a","53-0005-01","","1","",""
"4","available","","Edgar5","2026-08-24","PoE load","Stockroom","n/a","53-0005-01","","1","",""
"5","checked-out","tuppayok","PWR-C1-1900WHV-T","2026-08-25","Power supply","Station 3","n/a","341-101610-01 02","LIT2913AN5U","1","Liteon",""
"6","available","","PWR-C1-1900WHV-T","2026-08-26","Power supply","Stockroom","n/a","341-101610-01 02","LIT2913ANA4","1","Liteon",""
"7","available","","PWR-C1-1900WHV-T","2026-08-27","Power supply","Stockroom","n/a","341-101610-01 02","LIT2913ANA7","1","Liteon",""
"8","available","","PWR-C1-1900WHV-T","2026-08-28","Power supply","Stockroom","n/a","341-101610-01 02","LIT2913AN5V","1","Liteon",""
"9","available","","PWR-C1-1900WHV-T","2026-08-29","Power supply","Stockroom","n/a","341-101610-01 02","LIT2913AN5Y","1","Liteon",""
"10","available","","PWR-C1-1900WHV-T","2026-08-30","Power supply","Stockroom","n/a","341-101610-01 02","LIT2913AN9Y","1","Liteon",""
"11","available","","PWR-C2-850WAC-I","2026-08-31","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911003R","1","Megmeet",""
"12","available","","PWR-C2-850WAC-I","2026-09-01","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911004N","1","Megmeet",""
"13","available","","PWR-C2-850WAC-I","2026-09-02","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911003J","1","Megmeet",""
"14","available","","PWR-C2-850WAC-I","2026-09-03","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911004V","1","Megmeet",""
"15","available","","PWR-C2-850WAC-I","2026-09-04","Power supply","Stockroom","n/a","341-101479-01 03","MEG29110015","1","Megmeet",""
"16","available","","PWR-C2-850WAC-I","2026-09-05","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911001P","1","Megmeet",""
"17","available","","PWR-C2-850WAC-I","2026-09-06","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911004P","1","Megmeet",""
"18","available","","PWR-C2-850WAC-I","2026-09-07","Power supply","Stockroom","n/a","341-101479-01 03","MEG2911001D","1","Megmeet",""
"19","available","","PWR-C2-850WAC-I","2026-08-23","Power supply","Stockroom","n/a","341-101479-01 03","LIT29123355","1","Liteon",""
"20","available","","XMR4S","2026-08-25","SFP","Stockroom","n/a","53-0005-01","123","1","Opnext","""21"
"22","available","","CWDM-SFP-10G-1590","2026-08-25","SFP","Stockroom","10-2955-01","SPP5200CP-C1-59","","1","SUMITOMO",""
"23","available","","CWDM-SFP-1530","2026-08-25","SFP","Stockroom","Class1 21CFR1040.10","FWDM-16217D53CSC","","1","FINISAR",""
"24","available","","CWDM-SFP-1550","2026-08-25","SFP","Stockroom","Class1 21CFR1040.10","FWDM-16217D55CSC","","1","FINISAR",""
"25","available","","CWDM-SFP-1570","2026-08-25","SFP","Stockroom","Class1 21CFR1040.10","FWDM-16217D57CSC","","1","FINISAR",""
"26","available","","DWDM-SFP10G-30.33","2026-08-25","SFP","Stockroom","10-2784-01","FIM35061/201W59","","1","FUJITSU",""
"27","available","","DWDM-SFP10G-61.41","2026-08-25","SFP","Stockroom","10-2746-01","SPP5100DMC1-F200","","1","SUMITOMO",""
"28","available","","DWDM-SFP10G-61.41","2026-08-25","SFP","Stockroom","10-2746-01","FIM35060/201W20","","1","FUJITSU",""
"29","available","","DWDM-SFP10G-C","2026-08-25","SFP","Stockroom","10-3036-01","TRS7080FNCCA033","","1","OCLARO",""
"30","available","","DWDM-SFP10G-C","2026-08-25","SFP","Stockroom","10-3036-01","JST01TMAC1CX5CC2","","1","JDSU",""
"31","available","","DWDM-SFP10G-C-S","2026-08-25","SFP","Stockroom","10-3113-01","TRS7081FNCGA030","","1","OCLARO",""
"32","available","","DWDM-SFP-4294","2026-08-25","SFP","Stockroom","10-2233-01","SCP9EA8-C7-CN","","1","SUMITOMO",""
"33","available","","DWDM-SFP-4851","2026-08-25","SFP","Stockroom","10-2247-01","SCP9EA8C7CN-F360","","1","SUMITOMO",""
"34","available","","FET-10G","2026-08-25","SFP","Stockroom","10-2566-02","FTLX8570D3BCL-C2","","1","FINISAR",""
"35","available","","GLC-BX40-DA-I","2026-08-25","SFP","Stockroom","10-2948-01","TRBCG1HBEICISE1G","","1","OPLINK",""
"36","available","","GLC-BX40-D-I","2026-08-25","SFP","Stockroom","10-2940-01","TRBUG1HDEICISE1G","","1","OPLINK",""
"37","available","","GLC-BX40-U-I","2026-08-25","SFP","Stockroom","10-2942-01","TRBCG1HEEICISE1G","","1","OPLINK",""
"38","available","","GLC-BX40-U-I","2026-08-25","SFP","Stockroom","10-2942-01","RBT12SEX-IT3-CS3","","1","OES",""
"39","available","","GLC-BX40-U-I","2026-08-25","SFP","Stockroom","10-2942-01","TRBUG1HEEICISE1G","","1","OPLINK",""
"40","available","","GLC-BX40-D-I","2026-08-25","SFP","Stockroom","10-2940-01","RBT12SEX-IT5-CS3","","1","OES",""
"41","available","","GLC-BX80-D-I","2026-08-25","SFP","Stockroom","10-2939-01","TRBUG1HMZICISE1G","","1","OPLINK",""
"42","available","","GLC-BX80-D-I","2026-08-25","SFP","Stockroom","10-2939-01","RBT12SZX-IT5-CS3","","1","OES",""
"43","available","","GLC-BX80-U-I","2026-08-25","SFP","Stockroom","10-2941-01","RBT12SZX-IT4-CS3","","1","OES",""
"44","available","","GLC-BX80-U-I","2026-08-25","SFP","Stockroom","10-2941-01","TRBUG1HKZICISE1G","","1","OPLINK",""
"45","available","","GLC-BX-D","2026-08-25","SFP","Stockroom","10-2093-02","SBP6H44-C7-BN-49","","1","SUMITOMO",""
"46","available","","GLC-BX-D","2026-08-25","SFP","Stockroom","10-2093-01","SBP6H44-C1-BN-49","","1","SUMITOMO",""
"47","available","","GLC-BX-D","2026-08-25","SFP","Stockroom","10-2093-02","9912CSL10GCIC2","","1","FIBERXON",""
"48","available","","GLC-BX-U","2026-08-25","SFP","Stockroom","10-2094-02","SBP6H44-C7-BN-31","","1","SUMITOMO",""
"49","available","","GLC-BX-U","2026-08-25","SFP","Stockroom","10-2094-02","9612C-SL10G-CIC","","1","FIBERXON",""
"50","available","","GLC-BX-U","2026-08-25","SFP","Stockroom","10-2094-01","SBP6H44-C1-BN-31","","1","SUMITOMO",""
"51","available","","GLC-EX-SMD","2026-08-25","SFP","Stockroom","10-2624-01","SCP6J54-C5-BMH","","1","SUMITOMO",""
"52","available","","GLC-EX-SMD","2026-08-25","SFP","Stockroom","10-2624-01","RTXM191-452-C88","","1","ACCELINK",""
"53","available","","GLC-EX-SMD","2026-08-25","SFP","Stockroom","10-2529-01","TRF5756AMLB002","","1","OPNEXT",""
"54","available","","GLC-GE-DR-LX","2026-08-25","SFP","Stockroom","10-3089-01","RTXM191-400-C08","","1","ACCELINK",""
"55","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-03","SFCT-5798PZ-CS3","","1","AVAGO",""
"56","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-01","QFCT-5798LP","","1","AGILENT",""
"57","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-02","FTLF1318P2BCL-C2","","1","FINISAR",""
"58","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-02","SFCT-5798PZ-CS2","","1","AVAGO",""
"59","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-01","JSMR12L004B02","","1","JDSU",""
"60","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-01","FTRJ1319P1BTL-C7","","1","FINISAR",""
"61","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-03","FTLF1318P2BCL-C3","","1","FINISAR",""
"62","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-01","FTLF1318P2BCL-CS","","1","FINISAR",""
"63","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-01","FTRJ-1319-7D-CSC","","1","FINISAR",""
"64","available","","GLC-LH-SM","2026-08-25","SFP","Stockroom","30-1299-01","TRF5735AALB202","","1","OPNEXT",""
"65","available","","GLC-LH-SMD","2026-08-25","SFP","Stockroom","10-2625-01","TRPUG1CLXECISE2G","","1","OPLINK",""
"66","available","","GLC-LH-SMD","2026-08-25","SFP","Stockroom","10-2625-01","RTXM191-404-C88","","1","ACCELINK",""
"67","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-04","SFBR-5766PZ-CS2","","1","AVAGO",""
"68","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-02","QFBR-5766LP","","1","AVAGO",""
"69","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-02","FTLF8519P2BNL-CS","","1","FINISAR",""
"70","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-01","FTRJ-8519-7D-CSC","","1","FINISAR",""
"71","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-02","FTLF8519P2BCL-CS","","1","FINISAR",""
"72","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","10-1837-01","FTRJ1519P1BCL-CS","","1","FINISAR",""
"73","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-04","FTLF8519P2BCL-C5","","1","FINISAR",""
"74","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-02","SFBR-5766PZ","","1","AVAGO",""
"75","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-03","SFBR-5766PZ-CS1","","1","AVAGO",""
"76","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-02","TRF2715AALB202","","1","OPNEXT",""
"77","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-01","QFBR-5798L","","1","AGILENT",""
"78","available","","GLC-SX-MM","2026-08-25","SFP","Stockroom","30-1301-03","FTLF8519P2BCL-C4","","1","FINISAR",""
"79","available","","GLC-SX-MMD","2026-08-25","SFP","Stockroom","10-2626-01","FTLF8518P4BNL-CS","","1","FINISAR",""
"80","available","","GLC-SX-MMD","2026-08-25","SFP","Stockroom","10-2626-03","FTLF8518P4BNL-C2","","1","FINISAR",""
"81","available","","GLC-SX-MMD","2026-08-25","SFP","Stockroom","10-2626-01","SFBR-5716PZ","","1","AVAGO",""
"82","available","","GLC-SX-MMD","2026-08-25","SFP","Stockroom","10-2626-01","RTXM191-552-C88","","1","ACCELINK",""
"83","available","","GLC-SX-MMD","2026-08-25","SFP","Stockroom","10-2626-01","TRF2716CMLB402-W","","1","OPNEXT",""
"84","available","","GLC-SX-MM-RGD","2026-08-25","SFP","Stockroom","10-2274-01","FTLF8519P2BTL-CS","","1","FINISAR",""
"85","available","","GLC-SX-MM-RGD","2026-08-25","SFP","Stockroom","10-2274-03","AFBR-5715APZ-CS5","","1","AVAGO",""
"86","available","","GLC-T","2026-08-25","SFP","Stockroom","30-1410-02","ABCU-5710RZ-CS2","","1","AVAGO",""
"87","available","","GLC-T","2026-08-25","SFP","Stockroom","30-1410-02","ABCU-5710RZ-CS4","","1","AVAGO",""
"88","available","","GLC-T","2026-08-25","SFP","Stockroom","30-1410-02","QBCU-5798R","","1","AGILENT",""
"89","available","","GLC-T","2026-08-25","SFP","Stockroom","30-1410-03","SP7041_Rev_F","","1","METHODE",""
"90","available","","GLC-TE","2026-08-25","SFP","Stockroom","30-1475-01","SP7041-TE","","1","METHODE",""
"91","available","","GLC-TE","2026-08-25","SFP","Stockroom","30-1475-01","SBCU-5740ARZ-CS1","","1","AVAGO",""
"92","available","","GLC-ZX-SM","2026-08-25","SFP","Stockroom","10-1837-01","SCP6894-C1-BNE","","1","SUMITOMO",""
"93","available","","GLC-ZX-SM","2026-08-25","SFP","Stockroom","10-1837-01","FTRJ1519P1BCL-C1","","1","FINISAR",""
"94","available","","GLC-ZX-SMD","2026-08-25","SFP","Stockroom","10-2621-01","SCP6J94-C5-BMH","","1","SUMITOMO",""
"95","available","","GLC-ZX-SMD","2026-08-25","SFP","Stockroom","10-2621-01","RTXM191-507-C88","","1","ACCELINK",""
"96","available","","GLC-ZX-SMD","2026-08-25","SFP","Stockroom","10-2621-01","FTLF1519P1BNL-CS","","1","FINISAR",""
"97","available","","QSFP-100G-CU1M","2026-08-25","SFP","Stockroom","37-1666-01","L45593-D218-D10","","1","LEONI",""
"98","available","","QSFP-100G-CWDM4-S","2026-08-25","SFP","Stockroom","10-3145-02","JQ2R10GC4AA1CS2","","1","LUMENTUM",""
"99","available","","QSFP-100G-DR-S","2026-08-25","SFP","Stockroom","10-3507-01","TR-ZC13H-NCI","","1","INNOLIGHT",""
